,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
351,Tim Duncan*,C,31,SAS,78,78,34.0,7.5,15.1,0.497,0.0,0.1,0.0,7.5,15.1,0.498,0.497,4.3,5.9,0.73,3.0,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3,2007-2008
352,Mike Dunleavy,SG,27,IND,82,82,36.0,6.5,13.6,0.476,2.0,4.7,0.424,4.5,8.9,0.504,0.55,4.1,4.9,0.834,0.7,4.5,5.2,3.5,1.0,0.4,2.3,2.5,19.1,2007-2008
353,Kevin Durant,SG,19,SEA,80,80,34.6,7.3,17.1,0.43,0.7,2.6,0.288,6.6,14.5,0.455,0.451,4.9,5.6,0.873,0.9,3.5,4.4,2.4,1.0,0.9,2.9,1.5,20.3,2007-2008
354,Monta Ellis,SG,22,GSW,81,72,37.9,8.0,15.1,0.531,0.1,0.6,0.231,7.9,14.5,0.545,0.536,4.0,5.1,0.767,1.6,3.3,5.0,3.9,1.5,0.3,2.1,2.4,20.2,2007-2008
355,Maurice Evans,SG,29,TOT,75,47,22.9,3.5,7.3,0.481,1.1,2.8,0.388,2.4,4.5,0.539,0.555,0.8,1.1,0.711,1.2,1.7,2.9,1.1,0.6,0.1,0.5,1.9,8.9,2007-2008
356,Maurice Evans,SG,29,ORL,68,47,23.9,3.7,7.6,0.489,1.2,3.0,0.396,2.5,4.6,0.549,0.567,0.7,1.0,0.691,1.3,1.8,3.1,1.0,0.6,0.1,0.6,1.9,9.3,2007-2008
357,Reggie Evans,PF,27,PHI,81,61,23.2,1.9,4.3,0.439,0.0,0.0,1.0,1.9,4.3,0.438,0.441,1.5,3.2,0.467,2.8,4.8,7.5,0.8,1.1,0.1,1.3,2.6,5.2,2007-2008
358,Jordan Farmar,PG,21,LAL,82,0,20.6,3.5,7.7,0.461,1.4,3.7,0.371,2.2,4.0,0.546,0.552,0.6,1.0,0.679,0.5,1.8,2.2,2.7,0.9,0.1,1.3,1.3,9.1,2007-2008
359,Raymond Felton,PG,23,CHA,79,79,37.6,5.2,12.6,0.413,0.7,2.5,0.28,4.5,10.1,0.447,0.441,3.3,4.1,0.8,0.5,2.5,3.0,7.4,1.2,0.2,2.7,2.3,14.4,2007-2008
360,Michael Finley,SG,34,SAS,82,61,26.9,3.8,9.3,0.414,1.6,4.4,0.37,2.2,4.9,0.453,0.501,0.8,1.0,0.8,0.3,2.8,3.1,1.4,0.4,0.1,0.7,1.1,10.1,2007-2008
361,Derek Fisher,PG,33,LAL,82,82,27.4,4.1,9.5,0.436,1.4,3.4,0.406,2.8,6.1,0.453,0.508,2.0,2.3,0.883,0.3,1.8,2.1,2.9,1.0,0.0,1.1,2.3,11.7,2007-2008
362,T.J. Ford,PG,24,TOR,51,26,23.5,4.8,10.3,0.469,0.3,1.0,0.294,4.5,9.3,0.488,0.484,2.2,2.5,0.88,0.5,1.5,2.0,6.1,1.1,0.0,2.0,1.8,12.1,2007-2008
363,Jeff Foster,C,31,IND,77,52,24.5,2.7,4.8,0.55,0.0,0.0,0.0,2.7,4.8,0.554,0.55,1.1,1.9,0.593,3.4,5.2,8.7,1.7,0.7,0.4,0.8,2.9,6.4,2007-2008
364,Channing Frye,C,24,POR,78,20,17.2,2.8,5.8,0.488,0.0,0.1,0.3,2.8,5.7,0.492,0.491,1.1,1.4,0.78,1.4,3.2,4.5,0.7,0.4,0.3,0.7,2.7,6.8,2007-2008
365,Francisco GarcÃ­a,SF,26,SAC,79,20,26.5,4.4,9.5,0.463,1.4,3.7,0.391,3.0,5.9,0.508,0.538,2.1,2.6,0.779,0.7,2.7,3.3,1.6,1.2,0.6,1.6,2.9,12.3,2007-2008
366,Kevin Garnett*,PF,31,BOS,71,71,32.8,7.5,13.9,0.539,0.0,0.2,0.0,7.5,13.8,0.545,0.539,3.8,4.7,0.801,1.9,7.3,9.2,3.4,1.4,1.3,1.9,2.3,18.8,2007-2008
367,Pau Gasol,C,27,TOT,66,66,35.6,7.2,13.5,0.534,0.1,0.2,0.25,7.1,13.2,0.539,0.536,4.4,5.5,0.807,2.3,6.0,8.4,3.2,0.5,1.5,1.9,2.1,18.9,2007-2008
368,Rudy Gay,SF,21,MEM,81,81,37.0,7.7,16.7,0.461,1.7,4.8,0.346,6.1,12.0,0.507,0.511,3.1,3.9,0.785,1.7,4.4,6.2,2.0,1.4,1.0,2.3,2.8,20.1,2007-2008
369,Devean George,SF,30,DAL,53,4,15.5,1.4,3.9,0.357,0.4,1.3,0.324,1.0,2.6,0.374,0.411,0.5,0.6,0.706,0.5,2.1,2.6,0.7,0.4,0.2,0.5,1.7,3.7,2007-2008
370,Daniel Gibson,PG,21,CLE,58,26,30.4,3.5,8.0,0.432,2.0,4.6,0.44,1.4,3.4,0.421,0.559,1.5,1.8,0.81,0.5,1.8,2.3,2.5,0.8,0.2,1.3,2.8,10.4,2007-2008
371,Manu GinÃ³bili*,SG,30,SAS,74,23,31.1,6.1,13.3,0.46,2.1,5.3,0.401,4.0,8.0,0.499,0.54,5.1,6.0,0.86,0.9,3.9,4.8,4.5,1.5,0.4,2.7,2.3,19.5,2007-2008
372,Ryan Gomes,PF,25,MIN,82,74,29.7,4.8,10.5,0.457,0.7,2.2,0.33,4.1,8.3,0.491,0.492,2.3,2.8,0.83,1.6,4.2,5.8,1.8,0.8,0.1,1.2,1.9,12.6,2007-2008
373,Drew Gooden,PF,26,TOT,69,65,30.8,4.8,10.7,0.449,0.0,0.1,0.0,4.8,10.6,0.452,0.449,2.3,3.1,0.753,2.5,6.0,8.6,1.2,0.7,0.8,1.8,2.9,12.0,2007-2008
374,Drew Gooden,PF,26,CLE,51,51,30.7,4.5,10.3,0.444,0.0,0.1,0.0,4.5,10.2,0.446,0.444,2.2,3.0,0.728,2.3,6.0,8.3,1.0,0.7,0.6,1.8,2.8,11.3,2007-2008
375,Ben Gordon,SG,24,CHI,72,27,31.8,6.4,14.8,0.434,2.0,4.8,0.41,4.5,10.0,0.445,0.5,3.7,4.1,0.908,0.6,2.5,3.1,3.0,0.8,0.1,2.1,2.4,18.6,2007-2008
376,Danny Granger,SF,24,IND,80,80,36.0,6.7,15.1,0.446,2.1,5.3,0.404,4.6,9.8,0.468,0.517,4.0,4.7,0.852,1.2,4.9,6.1,2.1,1.2,1.1,2.1,3.6,19.6,2007-2008
377,Jeff Green,SF,21,SEA,80,52,28.2,4.0,9.4,0.427,0.3,1.0,0.276,3.7,8.4,0.444,0.441,2.2,3.0,0.744,1.3,3.5,4.7,1.5,0.6,0.6,2.0,2.5,10.5,2007-2008
378,Willie Green,SG,26,PHI,74,74,26.6,5.1,11.8,0.436,0.7,2.4,0.285,4.4,9.3,0.475,0.465,1.5,2.0,0.757,0.4,2.0,2.5,2.0,0.7,0.3,1.5,1.6,12.4,2007-2008
379,Richard Hamilton,SG,29,DET,72,72,33.7,6.9,14.3,0.484,0.9,2.0,0.44,6.1,12.3,0.492,0.515,2.6,3.1,0.833,1.0,2.2,3.3,4.2,1.0,0.1,1.8,2.4,17.3,2007-2008
380,Matt Harpring,SF,31,UTA,76,0,18.1,3.1,6.2,0.5,0.0,0.1,0.2,3.1,6.1,0.506,0.502,1.9,2.7,0.712,1.3,1.9,3.2,1.1,0.6,0.2,1.3,2.1,8.2,2007-2008
381,Al Harrington,C,27,GSW,81,59,27.0,5.0,11.4,0.434,1.9,5.0,0.375,3.1,6.4,0.482,0.517,1.8,2.3,0.774,1.3,4.1,5.4,1.6,0.9,0.2,1.1,3.3,13.6,2007-2008
382,Devin Harris,PG,24,TOT,64,61,31.6,5.0,10.8,0.463,0.9,2.6,0.335,4.1,8.2,0.504,0.504,3.9,4.7,0.824,0.4,2.3,2.7,5.8,1.4,0.2,2.5,3.0,14.8,2007-2008
383,Udonis Haslem,PF,27,MIA,49,48,36.8,4.8,10.3,0.467,0.0,0.0,,4.8,10.3,0.467,0.467,2.3,2.9,0.81,2.2,6.9,9.0,1.4,0.8,0.4,1.4,3.0,12.0,2007-2008
384,Chuck Hayes,PF,24,HOU,79,44,19.9,1.4,2.8,0.511,0.0,0.0,0.0,1.4,2.8,0.518,0.511,0.1,0.3,0.458,1.7,3.7,5.4,1.2,1.1,0.5,0.8,2.7,3.0,2007-2008
385,Jarvis Hayes,SF,26,DET,82,1,15.7,2.6,6.1,0.431,0.9,2.4,0.376,1.8,3.8,0.465,0.503,0.5,0.7,0.75,0.4,1.7,2.2,0.8,0.6,0.1,0.6,1.7,6.7,2007-2008
386,Brendan Haywood,C,28,WAS,80,80,27.9,4.0,7.5,0.528,0.0,0.0,,4.0,7.5,0.528,0.528,2.7,3.7,0.735,3.4,3.8,7.2,0.9,0.4,1.7,1.4,2.7,10.6,2007-2008
387,Luther Head,SG,25,HOU,73,17,18.9,2.8,6.5,0.432,1.1,3.1,0.351,1.7,3.5,0.504,0.515,0.9,1.1,0.815,0.2,1.6,1.8,1.9,0.6,0.1,1.0,1.0,7.6,2007-2008
388,Grant Hill*,SF,35,PHO,70,68,31.7,5.1,10.2,0.503,0.5,1.5,0.317,4.6,8.7,0.535,0.526,2.4,2.8,0.867,1.1,4.0,5.0,2.9,0.9,0.8,1.4,2.2,13.1,2007-2008
389,Kirk Hinrich,PG,27,CHI,75,72,31.7,4.4,10.6,0.414,1.1,3.2,0.35,3.3,7.4,0.442,0.467,1.6,1.9,0.831,0.4,2.9,3.3,6.0,1.2,0.3,2.1,3.0,11.5,2007-2008
390,Al Horford,C,21,ATL,81,77,31.4,4.1,8.2,0.499,0.0,0.1,0.0,4.1,8.2,0.502,0.499,1.9,2.6,0.731,3.1,6.6,9.7,1.5,0.7,0.9,1.7,3.3,10.1,2007-2008
391,Eddie House,PG,29,BOS,78,2,19.0,2.8,6.8,0.409,1.5,3.8,0.393,1.3,3.0,0.429,0.519,0.4,0.5,0.917,0.2,1.9,2.1,1.9,0.8,0.1,1.0,1.5,7.5,2007-2008
392,Dwight Howard,C,22,ORL,82,82,37.7,7.1,11.9,0.599,0.0,0.0,0.0,7.1,11.8,0.601,0.599,6.5,10.9,0.59,3.4,10.8,14.2,1.3,0.9,2.1,3.2,3.3,20.7,2007-2008
393,Josh Howard,SF,27,DAL,76,76,36.3,7.5,16.4,0.455,0.9,2.8,0.319,6.6,13.6,0.482,0.482,4.1,5.1,0.813,1.6,5.4,7.0,2.2,0.8,0.4,1.5,2.7,19.9,2007-2008
394,Larry Hughes,PG-SG,29,TOT,68,57,29.7,4.5,11.8,0.381,1.0,2.9,0.345,3.5,8.9,0.392,0.423,2.2,2.8,0.798,0.6,2.8,3.4,2.7,1.5,0.3,1.7,2.0,12.2,2007-2008
395,Larry Hughes,PG,29,CLE,40,32,30.3,4.5,12.0,0.377,1.1,3.2,0.341,3.4,8.8,0.389,0.422,2.2,2.7,0.815,0.7,2.9,3.6,2.4,1.5,0.3,1.8,2.3,12.3,2007-2008
396,Andre Iguodala,SF,24,PHI,82,82,39.5,7.1,15.6,0.456,1.2,3.7,0.329,5.9,11.8,0.496,0.495,4.5,6.2,0.721,1.0,4.4,5.4,4.8,2.1,0.6,2.6,2.3,19.9,2007-2008
397,Zydrunas Ilgauskas,C,32,CLE,73,73,30.4,5.7,12.0,0.474,0.0,0.0,0.0,5.7,12.0,0.475,0.474,2.7,3.3,0.802,3.6,5.7,9.3,1.4,0.5,1.6,1.8,3.4,14.1,2007-2008
398,Allen Iverson*,SG,32,DEN,82,82,41.8,8.7,19.0,0.458,1.2,3.4,0.345,7.5,15.6,0.482,0.488,7.9,9.7,0.809,0.6,2.4,3.0,7.1,2.0,0.1,3.0,1.3,26.4,2007-2008
399,Royal Ivey,PG,26,MIL,75,20,19.2,2.0,5.0,0.394,0.5,1.4,0.327,1.5,3.6,0.421,0.44,1.1,1.6,0.726,0.5,1.1,1.6,2.1,0.6,0.1,1.0,2.2,5.6,2007-2008
400,Jarrett Jack,SG,24,POR,82,16,27.2,3.3,7.6,0.431,0.8,2.3,0.342,2.5,5.2,0.47,0.483,2.6,3.0,0.867,0.4,2.5,2.9,3.8,0.7,0.0,2.2,1.6,9.9,2007-2008
401,Bobby Jackson,SG-PG,34,TOT,72,5,19.3,2.8,7.0,0.403,1.1,3.1,0.358,1.7,3.9,0.439,0.483,0.9,1.1,0.79,0.5,2.1,2.5,1.9,0.6,0.1,0.8,1.3,7.7,2007-2008
402,Bobby Jackson,SG,34,NOH,46,0,19.4,2.5,6.4,0.392,1.2,3.1,0.368,1.4,3.3,0.414,0.481,0.9,1.1,0.816,0.5,1.9,2.4,1.7,0.7,0.1,0.7,1.3,7.1,2007-2008
403,Stephen Jackson,SF,29,GSW,73,73,39.1,6.7,16.5,0.405,2.5,6.9,0.363,4.2,9.6,0.435,0.481,4.2,5.1,0.832,0.9,3.4,4.4,4.1,1.3,0.4,2.7,2.3,20.1,2007-2008
404,LeBron James,SF,23,CLE,75,74,40.4,10.6,21.9,0.484,1.5,4.8,0.315,9.1,17.1,0.531,0.518,7.3,10.3,0.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,2007-2008
405,Antawn Jamison,PF,31,WAS,79,79,38.7,7.8,17.9,0.436,1.5,4.5,0.339,6.3,13.5,0.468,0.478,4.2,5.5,0.76,2.7,7.5,10.2,1.5,1.3,0.4,1.4,2.5,21.4,2007-2008
406,Marko JariÄ,SG,29,MIN,75,56,29.2,3.0,7.0,0.43,0.6,1.7,0.362,2.4,5.3,0.451,0.473,1.6,2.2,0.742,0.5,2.5,3.0,4.1,1.3,0.4,1.7,2.4,8.3,2007-2008
407,Al Jefferson,C,23,MIN,82,82,35.6,8.8,17.6,0.5,0.0,0.1,0.0,8.8,17.5,0.502,0.5,3.5,4.8,0.721,3.8,7.4,11.1,1.4,0.9,1.5,2.0,2.7,21.0,2007-2008
408,Richard Jefferson,SF,27,NJN,82,82,39.0,7.5,16.2,0.466,0.9,2.6,0.362,6.6,13.6,0.486,0.495,6.6,8.3,0.798,1.1,3.0,4.2,3.1,0.9,0.3,2.4,2.7,22.6,2007-2008
409,Jared Jeffries,SF,26,NYK,73,19,18.2,1.5,3.7,0.4,0.1,0.3,0.16,1.4,3.4,0.424,0.407,0.7,1.3,0.527,1.6,1.7,3.3,0.9,0.5,0.3,0.9,1.8,3.7,2007-2008
410,Yi Jianlian,PF,20,MIL,66,49,25.0,3.3,7.9,0.421,0.1,0.3,0.286,3.2,7.6,0.427,0.427,1.8,2.2,0.841,1.6,3.6,5.2,0.8,0.5,0.8,1.4,2.3,8.6,2007-2008
411,Anthony Johnson,PG,33,TOT,69,52,22.2,2.2,5.1,0.437,0.6,1.3,0.452,1.6,3.8,0.431,0.496,0.5,0.6,0.814,0.3,1.7,2.0,3.8,0.8,0.1,1.2,1.7,5.6,2007-2008
412,Anthony Johnson,PG,33,ATL,42,41,26.7,2.7,6.4,0.431,0.6,1.5,0.429,2.1,4.9,0.431,0.481,0.6,0.8,0.813,0.4,1.9,2.3,4.8,1.0,0.2,1.2,2.0,6.7,2007-2008
413,Joe Johnson,SG,26,ATL,82,82,40.8,7.9,18.3,0.432,2.1,5.4,0.381,5.8,12.8,0.454,0.489,3.9,4.6,0.834,1.0,3.5,4.5,5.8,1.0,0.2,2.7,2.0,21.7,2007-2008
414,Damon Jones,SG,31,CLE,67,3,19.9,2.3,5.4,0.416,1.7,4.1,0.417,0.5,1.3,0.414,0.574,0.3,0.4,0.714,0.1,1.0,1.1,1.9,0.3,0.0,0.5,1.0,6.5,2007-2008
415,Eddie Jones,SG,36,DAL,47,33,19.6,1.4,3.8,0.367,0.7,2.5,0.293,0.7,1.4,0.5,0.461,0.2,0.3,0.714,0.4,2.4,2.8,1.5,0.6,0.2,0.6,1.5,3.7,2007-2008
416,Fred Jones,SG,28,NYK,70,26,25.1,2.6,6.2,0.421,1.1,2.7,0.385,1.5,3.4,0.45,0.507,1.3,1.8,0.746,0.4,2.0,2.4,2.4,0.7,0.3,1.1,2.0,7.6,2007-2008
417,James Jones,SF,27,POR,58,3,22.0,2.5,5.6,0.437,1.6,3.5,0.444,0.9,2.1,0.426,0.576,1.5,1.7,0.878,0.7,2.0,2.8,0.6,0.4,0.3,0.5,1.7,8.0,2007-2008
418,Chris Kaman,C,25,LAC,56,55,37.2,6.0,12.5,0.483,0.0,0.1,0.0,6.0,12.4,0.486,0.483,3.6,4.7,0.762,3.1,9.6,12.7,1.9,0.6,2.8,2.9,3.2,15.7,2007-2008
419,Jason Kapono,SF,26,TOR,81,7,18.9,3.0,6.1,0.488,0.7,1.5,0.483,2.3,4.7,0.489,0.545,0.5,0.5,0.86,0.4,1.1,1.5,0.8,0.4,0.0,0.7,1.6,7.2,2007-2008
420,Jason Kidd*,PG,34,TOT,80,80,36.3,3.8,9.9,0.385,1.5,3.9,0.381,2.3,6.0,0.387,0.46,1.7,2.1,0.818,1.2,6.3,7.5,10.1,1.7,0.3,3.3,2.1,10.8,2007-2008
421,Jason Kidd*,PG,34,NJN,51,51,37.2,3.9,10.8,0.366,1.6,4.6,0.356,2.3,6.1,0.374,0.443,1.8,2.2,0.82,1.1,6.9,8.1,10.4,1.5,0.3,3.6,1.8,11.3,2007-2008
422,Andrei Kirilenko,SF,26,UTA,72,72,30.8,3.8,7.6,0.506,0.6,1.6,0.379,3.2,5.9,0.54,0.546,2.8,3.6,0.77,1.7,3.0,4.7,4.0,1.2,1.5,1.9,2.3,11.0,2007-2008
423,Linas Kleiza,SF,23,DEN,79,13,23.9,3.9,8.3,0.472,1.2,3.5,0.339,2.7,4.8,0.568,0.543,2.1,2.7,0.77,1.2,3.1,4.2,1.2,0.6,0.2,1.1,2.3,11.1,2007-2008
424,Brevin Knight,PG,32,LAC,74,39,22.6,1.9,4.6,0.404,0.0,0.1,0.0,1.9,4.5,0.411,0.404,0.8,1.0,0.873,0.2,1.7,1.9,4.4,1.4,0.1,1.0,2.2,4.6,2007-2008
425,Kyle Korver,SG-PF,26,TOT,75,0,23.1,3.4,7.7,0.443,1.5,3.9,0.375,1.9,3.7,0.516,0.54,1.6,1.7,0.915,0.3,2.0,2.3,1.3,0.6,0.4,1.0,2.6,9.9,2007-2008
426,Kyle Korver,SG,26,UTA,50,0,21.5,3.3,7.0,0.474,1.5,3.8,0.388,1.8,3.2,0.575,0.579,1.8,1.9,0.917,0.2,1.8,2.0,1.4,0.4,0.5,0.9,2.5,9.8,2007-2008
427,Nenad KrstiÄ,C,24,NJN,45,38,18.0,2.7,6.7,0.41,0.0,0.0,0.0,2.7,6.6,0.413,0.41,1.2,1.5,0.754,0.8,3.7,4.4,0.6,0.2,0.4,0.9,2.5,6.6,2007-2008
428,Carl Landry,PF,24,HOU,42,0,16.9,3.2,5.2,0.616,0.0,0.0,0.0,3.2,5.2,0.619,0.616,1.7,2.6,0.661,2.3,2.6,4.9,0.5,0.4,0.2,0.6,2.3,8.1,2007-2008
429,Acie Law,PG,23,ATL,56,6,15.4,1.7,4.2,0.401,0.1,0.6,0.206,1.6,3.6,0.433,0.416,0.7,0.9,0.792,0.2,0.8,1.0,2.0,0.5,0.0,1.0,1.3,4.2,2007-2008
430,David Lee,PF,24,NYK,81,29,29.1,4.2,7.6,0.552,0.0,0.0,0.0,4.2,7.6,0.554,0.552,2.4,2.9,0.819,3.0,6.0,8.9,1.2,0.7,0.4,1.2,2.6,10.8,2007-2008
431,Rashard Lewis,PF,28,ORL,81,81,38.0,6.4,14.0,0.455,2.8,6.8,0.409,3.6,7.2,0.498,0.554,2.7,3.2,0.838,1.2,4.2,5.4,2.4,1.2,0.5,1.7,2.6,18.2,2007-2008
432,Kyle Lowry,PG,21,MEM,82,9,25.5,3.1,7.2,0.432,0.4,1.7,0.257,2.7,5.5,0.487,0.463,3.0,4.2,0.698,0.5,2.5,3.0,3.6,1.1,0.3,1.5,2.3,9.6,2007-2008
433,Corey Maggette,SF,28,LAC,70,65,35.7,6.5,14.3,0.458,1.1,2.9,0.384,5.4,11.4,0.477,0.497,7.9,9.7,0.812,1.1,4.5,5.6,2.7,1.0,0.1,2.8,3.0,22.1,2007-2008
434,Shawn Marion,PF,29,TOT,63,62,36.7,6.3,12.5,0.508,1.0,3.1,0.333,5.3,9.3,0.567,0.55,1.7,2.4,0.707,2.2,8.0,10.2,2.2,2.0,1.3,1.4,2.4,15.4,2007-2008
435,Shawn Marion,PF,29,PHO,47,47,36.4,6.5,12.3,0.526,1.2,3.6,0.347,5.2,8.7,0.599,0.576,1.6,2.3,0.713,1.8,8.0,9.9,2.1,2.0,1.5,1.0,2.5,15.8,2007-2008
436,Kenyon Martin,PF,30,DEN,71,71,30.4,5.3,9.8,0.538,0.0,0.2,0.182,5.3,9.7,0.544,0.539,1.7,3.0,0.58,1.5,5.0,6.5,1.3,1.2,1.2,1.3,3.3,12.4,2007-2008
437,Kevin Martin,SG,24,SAC,61,57,36.3,6.8,15.0,0.456,1.8,4.4,0.402,5.1,10.6,0.478,0.515,8.2,9.5,0.869,0.8,3.7,4.5,2.1,1.0,0.1,2.1,2.5,23.7,2007-2008
438,Desmond Mason,SF,30,MIL,59,56,28.8,3.9,8.1,0.482,0.0,0.0,,3.9,8.1,0.482,0.482,1.9,2.9,0.659,1.3,3.1,4.3,2.1,0.7,0.5,1.4,1.8,9.7,2007-2008
439,Roger Mason,PG,27,WAS,80,9,21.4,3.3,7.5,0.443,1.6,4.1,0.398,1.7,3.4,0.498,0.552,0.8,0.9,0.873,0.2,1.4,1.6,1.7,0.5,0.2,0.9,1.8,9.1,2007-2008
440,Jason Maxiell,C,24,DET,82,7,21.6,2.9,5.4,0.538,0.0,0.0,0.0,2.9,5.4,0.539,0.538,2.1,3.3,0.633,2.2,3.1,5.3,0.6,0.3,1.1,0.9,2.2,7.9,2007-2008
441,Rashad McCants,SG,23,MIN,75,24,26.9,5.7,12.6,0.453,1.9,4.7,0.407,3.8,7.9,0.481,0.529,1.5,2.1,0.748,0.7,2.1,2.7,2.2,0.9,0.2,2.3,3.1,14.9,2007-2008
442,Antonio McDyess,PF,33,DET,78,78,29.3,3.8,7.7,0.488,0.0,0.0,0.0,3.8,7.7,0.49,0.488,1.2,2.0,0.622,2.6,5.9,8.5,1.1,0.8,0.7,1.0,3.2,8.8,2007-2008
443,Tracy McGrady*,SG,28,HOU,66,62,37.0,8.3,19.8,0.419,1.3,4.5,0.292,7.0,15.3,0.457,0.452,3.7,5.4,0.684,0.6,4.5,5.1,5.9,1.0,0.5,2.4,1.4,21.6,2007-2008
444,Jeff McInnis,PG,33,CHA,54,26,26.1,2.0,4.6,0.434,0.1,0.4,0.158,1.9,4.3,0.457,0.44,0.4,0.6,0.767,0.3,1.5,1.8,4.1,0.4,0.1,1.4,2.2,4.5,2007-2008
445,Darko MiliÄiÄ,C,22,MEM,70,64,23.8,3.1,7.1,0.438,0.0,0.0,0.0,3.1,7.1,0.439,0.438,1.0,1.7,0.554,1.8,4.2,6.1,0.8,0.5,1.6,1.4,2.6,7.2,2007-2008
446,Andre Miller,PG,31,PHI,82,82,36.8,6.9,14.1,0.492,0.0,0.4,0.088,6.9,13.7,0.504,0.494,3.1,4.1,0.772,1.2,2.8,4.0,6.9,1.3,0.1,2.5,2.2,17.0,2007-2008
447,Brad Miller,C,31,SAC,72,72,34.9,4.7,10.1,0.463,0.4,1.3,0.311,4.3,8.9,0.484,0.482,3.6,4.3,0.848,2.3,7.1,9.5,3.7,1.0,1.0,2.3,3.4,13.4,2007-2008
448,Mike Miller,SG,27,MEM,70,70,35.3,5.9,11.8,0.502,2.2,5.1,0.432,3.7,6.6,0.557,0.596,2.3,3.0,0.774,0.7,5.9,6.7,3.4,0.5,0.2,2.6,2.1,16.4,2007-2008
449,Paul Millsap,PF,22,UTA,82,2,20.8,3.1,6.1,0.504,0.0,0.0,0.0,3.1,6.1,0.508,0.504,1.9,2.8,0.677,2.0,3.6,5.6,1.0,0.9,0.9,1.1,3.3,8.1,2007-2008
450,Yao Ming*,C,27,HOU,55,55,37.2,7.9,15.5,0.507,0.0,0.0,0.0,7.9,15.5,0.508,0.507,6.3,7.4,0.85,3.1,7.7,10.8,2.3,0.5,2.0,3.3,3.1,22.0,2007-2008
451,Cuttino Mobley,SG,32,LAC,77,38,35.1,4.9,11.3,0.433,0.9,2.5,0.349,4.0,8.8,0.457,0.472,2.1,2.6,0.819,0.6,2.9,3.6,2.6,1.0,0.4,1.6,2.0,12.8,2007-2008
452,Nazr Mohammed,C,30,TOT,82,29,20.1,3.3,6.4,0.515,0.0,0.0,0.0,3.3,6.4,0.516,0.515,1.2,2.0,0.583,2.4,3.7,6.0,0.9,0.5,0.7,1.2,2.8,7.8,2007-2008
453,Nazr Mohammed,C,30,CHA,61,29,23.3,4.0,7.7,0.52,0.0,0.0,,4.0,7.7,0.52,0.52,1.3,2.2,0.617,2.7,4.2,6.9,1.1,0.6,0.9,1.5,3.2,9.3,2007-2008
454,Jamario Moon,SF,27,TOR,78,75,27.8,3.6,7.4,0.485,0.5,1.6,0.328,3.1,5.8,0.528,0.52,0.8,1.1,0.741,1.2,5.0,6.2,1.2,1.0,1.4,0.7,1.9,8.5,2007-2008
455,Mikki Moore,PF,32,SAC,82,79,29.1,3.4,6.0,0.577,0.0,0.0,0.0,3.4,5.9,0.579,0.577,1.6,2.2,0.736,2.0,4.1,6.0,1.0,0.4,0.6,1.3,3.8,8.5,2007-2008
456,Troy Murphy,PF,27,IND,75,61,28.1,4.2,9.2,0.455,1.3,3.1,0.398,2.9,6.1,0.484,0.522,2.6,3.2,0.797,1.4,5.8,7.2,2.2,0.7,0.4,1.3,2.9,12.2,2007-2008
457,Ronald Murray,PG,28,TOT,42,19,20.8,3.7,8.7,0.42,0.5,1.5,0.317,3.2,7.2,0.441,0.447,1.6,2.3,0.694,0.5,1.4,2.0,3.4,0.9,0.1,2.0,1.2,9.4,2007-2008
458,BoÅ¡tjan Nachbar,PF,27,NJN,75,1,22.1,3.3,8.1,0.402,1.3,3.5,0.359,2.0,4.6,0.435,0.479,2.1,2.6,0.786,0.7,2.7,3.5,1.2,0.6,0.3,1.1,2.4,9.8,2007-2008
459,Eduardo NÃ¡jera,PF,31,DEN,78,3,21.3,2.2,4.7,0.473,0.7,1.9,0.361,1.6,2.8,0.548,0.545,0.8,1.1,0.708,1.4,2.9,4.3,1.2,0.9,0.5,0.8,2.6,5.9,2007-2008
460,Steve Nash*,PG,33,PHO,81,81,34.3,6.0,11.9,0.504,2.2,4.7,0.47,3.8,7.2,0.527,0.597,2.7,3.0,0.906,0.3,3.1,3.5,11.1,0.7,0.1,3.6,1.4,16.9,2007-2008
461,Juan Carlos Navarro,SG,27,MEM,82,30,25.8,3.8,9.3,0.402,1.9,5.3,0.361,1.9,4.1,0.455,0.504,1.5,1.8,0.849,0.4,2.1,2.6,2.2,0.6,0.0,1.6,1.1,10.9,2007-2008
462,Jameer Nelson,PG,25,ORL,69,62,28.4,4.1,8.7,0.469,0.9,2.2,0.416,3.2,6.5,0.488,0.522,1.8,2.2,0.828,0.4,3.1,3.5,5.6,0.9,0.1,2.0,2.4,10.9,2007-2008
463,Rasho NesteroviÄ,C,31,TOR,71,39,20.9,3.6,6.6,0.55,0.0,0.0,0.333,3.6,6.5,0.552,0.551,0.5,0.7,0.755,1.8,3.0,4.8,1.2,0.3,0.7,0.8,1.9,7.8,2007-2008
464,Ira Newble,SG,33,CLE,41,13,15.9,1.7,3.9,0.449,0.4,1.1,0.333,1.4,2.8,0.496,0.497,0.5,0.6,0.769,1.0,1.8,2.8,0.3,0.7,0.2,0.8,1.6,4.3,2007-2008
